一,http://pic.guoxuemi.com//zixyb/1/A00001i001.png;http://pic.guoxuemi.com//zixyb/2/A00001j001.png;http://pic.guoxuemi.com//zixyb/4/A00001l001.png;http://pic.guoxuemi.com//zixyb/5/A00001m001.png;http://pic.guoxuemi.com//zixyb/6/A00001n001.png,yī,"one; a, an; alone",1
人,http://pic.guoxuemi.com//zixyb/1/A00068i001.png;http://pic.guoxuemi.com//zixyb/2/A00068j001.png;http://pic.guoxuemi.com//zixyb/4/A00068l001.png;http://pic.guoxuemi.com//zixyb/5/A00068m001.png;http://pic.guoxuemi.com//zixyb/6/A00068n001.png,rén,man; people; mankind; someone else,1
力,http://pic.guoxuemi.com//zixyb/1/A00379i001.png;http://pic.guoxuemi.com//zixyb/2/A00379j001.png;http://pic.guoxuemi.com//zixyb/4/A00379l001.png;http://pic.guoxuemi.com//zixyb/5/A00379m001.png;http://pic.guoxuemi.com//zixyb/6/A00379n001.png,lì,"power, capability, influence",1
十,http://pic.guoxuemi.com//zixyb/1/A00429i001.png;http://pic.guoxuemi.com//zixyb/2/A00429j001.png;http://pic.guoxuemi.com//zixyb/4/A00429l001.png;http://pic.guoxuemi.com//zixyb/5/A00429m001.png;http://pic.guoxuemi.com//zixyb/6/A00429n001.png,shí,"ten, tenth; complete; perfect",1
又,http://pic.guoxuemi.com//zixyb/1/A00468i001.png;http://pic.guoxuemi.com//zixyb/2/A00468j001.png;http://pic.guoxuemi.com//zixyb/4/A00468l001.png;http://pic.guoxuemi.com//zixyb/5/A00468m001.png;http://pic.guoxuemi.com//zixyb/6/A00468n001.png,yòu,"and, also, again, in addition",1
二,http://pic.guoxuemi.com//zixyb/1/A00049i001.png;http://pic.guoxuemi.com//zixyb/2/A00049j001.png;http://pic.guoxuemi.com//zixyb/4/A00049l001.png;http://pic.guoxuemi.com//zixyb/5/A00049m001.png;http://pic.guoxuemi.com//zixyb/6/A00049n001.png,èr,two; twice,1
儿,n.a.;n.a.;http://pic.guoxuemi.com//zixyb/4/C00377l001.png;http://pic.guoxuemi.com//zixyb/5/C00377m001.png;http://pic.guoxuemi.com//zixyb/6/C00377n001.png,ér,"son, child; KangXi radical 10",1
大,http://pic.guoxuemi.com//zixyb/1/A00848i001.png;http://pic.guoxuemi.com//zixyb/2/A00848j001.png;http://pic.guoxuemi.com//zixyb/4/A00848l001.png;http://pic.guoxuemi.com//zixyb/5/A00848m001.png;http://pic.guoxuemi.com//zixyb/6/A00848n001.png,dà,"big, great, vast, large, high",1
也,n.a.;http://pic.guoxuemi.com//zixyb/2/A00040j001.png;http://pic.guoxuemi.com//zixyb/4/A00040l001.png;http://pic.guoxuemi.com//zixyb/5/A00040m001.png;http://pic.guoxuemi.com//zixyb/6/A00040n001.png,yě,also; classical final particle of strong affirmation or identity,1
子,http://pic.guoxuemi.com//zixyb/1/A00982i001.png;http://pic.guoxuemi.com//zixyb/2/A00982j001.png;http://pic.guoxuemi.com//zixyb/4/A00982l001.png;http://pic.guoxuemi.com//zixyb/5/A00982m001.png;http://pic.guoxuemi.com//zixyb/6/A00982n001.png,zi,"offspring, child; fruit, seed of; 1st terrestrial branch",1
于,http://pic.guoxuemi.com//zixyb/1/A00050i001.png;http://pic.guoxuemi.com//zixyb/2/A00050j001.png;http://pic.guoxuemi.com//zixyb/4/A00050l001.png;http://pic.guoxuemi.com//zixyb/5/A00050m001.png;http://pic.guoxuemi.com//zixyb/6/A00050n001.png,yú,"in, on, at; go to; surname",1
之,http://pic.guoxuemi.com//zixyb/1/A00029i001.png;http://pic.guoxuemi.com//zixyb/2/A00029j001.png;http://pic.guoxuemi.com//zixyb/4/A00029l001.png;http://pic.guoxuemi.com//zixyb/5/A00029m001.png;http://pic.guoxuemi.com//zixyb/6/A00029n001.png,zhī,"marks preceding phrase as modifier of following phrase; it, him her, them; go to",2
小,http://pic.guoxuemi.com//zixyb/1/A01068i001.png;http://pic.guoxuemi.com//zixyb/2/A01068j001.png;http://pic.guoxuemi.com//zixyb/4/A01068l001.png;http://pic.guoxuemi.com//zixyb/5/A01068m001.png;http://pic.guoxuemi.com//zixyb/6/A01068n001.png,xiǎo,"small, tiny, insignificant",2
与,http://pic.guoxuemi.com//zixyb/2/A03398j001.png;http://pic.guoxuemi.com//zixyb/3/A03398k001.png;http://pic.guoxuemi.com//zixyb/5/A03398m001.png;http://pic.guoxuemi.com//zixyb/6/A03398n001.png;http://pic.guoxuemi.com//zi/4E0E.gif,yǔ,"and; with; to; for; give, grant",2
工,http://pic.guoxuemi.com//zixyb/1/A01148i001.png;http://pic.guoxuemi.com//zixyb/2/A01148j001.png;http://pic.guoxuemi.com//zixyb/4/A01148l001.png;http://pic.guoxuemi.com//zixyb/5/A01148m001.png;http://pic.guoxuemi.com//zixyb/6/A01148n001.png,gōng,"labor, work; worker, laborer",2
三,http://pic.guoxuemi.com//zixyb/1/A00004i001.png;http://pic.guoxuemi.com//zixyb/2/A00004j001.png;http://pic.guoxuemi.com//zixyb/4/A00004l001.png;http://pic.guoxuemi.com//zixyb/5/A00004m001.png;http://pic.guoxuemi.com//zixyb/6/A00004n001.png,sān,three,2
己,http://pic.guoxuemi.com//zixyb/1/A01154i001.png;http://pic.guoxuemi.com//zixyb/2/A01154j001.png;http://pic.guoxuemi.com//zixyb/4/A01154l001.png;http://pic.guoxuemi.com//zixyb/5/A01154m001.png;http://pic.guoxuemi.com//zixyb/6/A01154n001.png,jǐ,"self, oneself; personal, private; 6th heavenly stem",2
及,http://pic.guoxuemi.com//zixyb/1/A00471i001.png;http://pic.guoxuemi.com//zixyb/2/A00471j001.png;http://pic.guoxuemi.com//zixyb/4/A00471l001.png;http://pic.guoxuemi.com//zixyb/5/A00471m001.png;http://pic.guoxuemi.com//zixyb/6/A00471n001.png,jí,extend; reach; come up to; and,2
不,http://pic.guoxuemi.com//zixyb/1/A00010i001.png;http://pic.guoxuemi.com//zixyb/2/A00010j001.png;http://pic.guoxuemi.com//zixyb/4/A00010l001.png;http://pic.guoxuemi.com//zixyb/5/A00010m001.png;http://pic.guoxuemi.com//zixyb/6/A00010n001.png,bù,"no, not; un-; negative prefix",2
中,http://pic.guoxuemi.com//zixyb/1/A00020i001.png;http://pic.guoxuemi.com//zixyb/2/A00020j001.png;http://pic.guoxuemi.com//zixyb/4/A00020l001.png;http://pic.guoxuemi.com//zixyb/5/A00020m001.png;http://pic.guoxuemi.com//zixyb/6/A00020n001.png,zhōng,"central; center, middle; in the midst of; hit (target); attain",2
